_id,colCode,colName,branCode,branName
6457ad9abd452186e59e3515,1051004,"Rajah Serfoji Government College(Autonomous), Thanjavur - 613005",SCSE1,B.Sc. Computer Science (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e351e,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",AHIT1,B.A. History (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3542,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",SCHE1,B.Sc. Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3557,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3545,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",SZOE1,B.Sc. Zoology (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3548,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e355a,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SPHE1,B.Sc. Physics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e34de,1052002,Government College for Women(Autonomous) Kumbakonam- 612001,SMAT1,B.Sc. Mathematics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3560,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SCHE1,B.Sc. Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3561,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SCHT1,B.Sc. Chemistry (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3553,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",AHIT1,B.A. History (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e355b,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SMAE1,B.Sc. Mathematics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3516,1051004,"Rajah Serfoji Government College(Autonomous), Thanjavur - 613005",SBCE1,B.Sc. Bio-Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e356c,1051008,"Manni Raja Gopala Swamy Government Arts College, Mannargudi - 614001",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3565,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SVCE1,B.Sc. Visual Communication (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e356d,1051008,"Manni Raja Gopala Swamy Government Arts College, Mannargudi - 614001",AHIE1,B.A. History (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e357f,1051009,"Government Arts and Science College, Peravurani - 614804",CCOE1,B.Com. (Commerce) (E/M) ( 1ST SHIFT )
